Date,Product Category,Product Name,Store Name,Store Type,Year,Quarter,Month,Day,Sum of Year,Sum of Units Sold,Region,Sum of Profit,Sum of Revenue
2020-01-24 00:00:00,Sports & Outdoors,Dart Gun,Hollywood,Commercial,2020,Qtr 1,January,24,2020,41,Los Angeles,164,655.59
2020-01-25 00:00:00,Games,Deck Of Cards,Hollywood,Commercial,2020,Qtr 1,January,25,2020,45,Los Angeles,135,314.55
2020-01-26 00:00:00,Toys,Dino Egg,Hollywood,Commercial,2020,Qtr 1,January,26,2020,142,Los Angeles,142,1560.58
2020-01-27 00:00:00,Toys,Dinosaur Figures,Hollywood,Commercial,2020,Qtr 1,January,27,2020,30,Los Angeles,120,449.7
2020-01-28 00:00:00,Games,Glass Marbles,Hollywood,Commercial,2020,Qtr 1,January,28,2020,22,Los Angeles,110,241.78
2020-01-29 00:00:00,Art & Crafts,Kids Makeup Kit,Hollywood,Commercial,2020,Qtr 1,January,29,2020,19,Los Angeles,113.99999999999997,379.80999999999995
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,33,New York,197.99999999999994,659.67
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,LAX,Airport,2020,Qtr 1,January,30,2020,28,Los Angeles,167.99999999999994,559.7199999999999
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,82,Chicago,491.99999999999983,1639.1799999999998
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,15,Chicago,89.99999999999997,299.84999999999997
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,Millenium,Downtown,2020,Qtr 1,January,30,2020,3,Chicago,17.999999999999993,59.97
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,O'Hare,Airport,2020,Qtr 1,January,30,2020,4,Chicago,23.999999999999993,79.96
2020-01-30 00:00:00,Art & Crafts,Kids Makeup Kit,Times Square,Downtown,2020,Qtr 1,January,30,2020,10,New York,59.999999999999986,199.89999999999998
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,14,New York,14.000000000000004,41.86
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,Hollywood,Commercial,2020,Qtr 1,January,30,2020,27,Los Angeles,27.000000000000007,80.73
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,JFK,Airport,2020,Qtr 1,January,30,2020,2,New York,2.0000000000000004,5.98
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,LAX,Airport,2020,Qtr 1,January,30,2020,64,Los Angeles,64.00000000000001,191.36
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,32,Chicago,32.00000000000001,95.68
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,Millenium,Downtown,2020,Qtr 1,January,30,2020,115,Chicago,115.00000000000003,343.85
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,O'Hare,Airport,2020,Qtr 1,January,30,2020,47,Chicago,47.00000000000001,140.53
2020-01-30 00:00:00,Art & Crafts,PlayDoh Can,Times Square,Downtown,2020,Qtr 1,January,30,2020,37,New York,37.00000000000001,110.63000000000001
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,52,New York,52,259.48
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Hollywood,Commercial,2020,Qtr 1,January,30,2020,35,Los Angeles,35,174.65
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,JFK,Airport,2020,Qtr 1,January,30,2020,62,New York,62,309.38
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,LAX,Airport,2020,Qtr 1,January,30,2020,53,Los Angeles,53,264.47
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,18,Chicago,18,89.82000000000001
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,15,Chicago,15,74.85000000000001
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Millenium,Downtown,2020,Qtr 1,January,30,2020,110,Chicago,110,548.9
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,O'Hare,Airport,2020,Qtr 1,January,30,2020,40,Chicago,40,199.60000000000002
2020-01-30 00:00:00,Art & Crafts,PlayDoh Toolkit,Times Square,Downtown,2020,Qtr 1,January,30,2020,17,New York,17,84.83
2020-01-30 00:00:00,Electronics,Colorbuds,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,145,New York,1160,2173.55
2020-01-30 00:00:00,Electronics,Colorbuds,JFK,Airport,2020,Qtr 1,January,30,2020,286,New York,2288,4287.14
2020-01-30 00:00:00,Electronics,Colorbuds,LAX,Airport,2020,Qtr 1,January,30,2020,289,Los Angeles,2312,4332.11
2020-01-30 00:00:00,Electronics,Colorbuds,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,87,Chicago,696,1304.13
2020-01-30 00:00:00,Electronics,Colorbuds,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,103,Chicago,824,1543.97
2020-01-30 00:00:00,Electronics,Colorbuds,Millenium,Downtown,2020,Qtr 1,January,30,2020,146,Chicago,1168,2188.54
2020-01-30 00:00:00,Electronics,Colorbuds,O'Hare,Airport,2020,Qtr 1,January,30,2020,402,Chicago,3216,6025.9800000000005
2020-01-30 00:00:00,Electronics,Colorbuds,Times Square,Downtown,2020,Qtr 1,January,30,2020,336,New York,2688,5036.64
2020-01-30 00:00:00,Electronics,Toy Robot,Hollywood,Commercial,2020,Qtr 1,January,30,2020,17,Los Angeles,85,441.83
2020-01-30 00:00:00,Electronics,Toy Robot,JFK,Airport,2020,Qtr 1,January,30,2020,16,New York,80,415.84
2020-01-30 00:00:00,Electronics,Toy Robot,LAX,Airport,2020,Qtr 1,January,30,2020,5,Los Angeles,25,129.95
2020-01-30 00:00:00,Electronics,Toy Robot,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,31,Chicago,155,805.6899999999999
2020-01-30 00:00:00,Electronics,Toy Robot,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,17,Chicago,85,441.83
2020-01-30 00:00:00,Electronics,Toy Robot,Millenium,Downtown,2020,Qtr 1,January,30,2020,57,Chicago,285,1481.4299999999998
2020-01-30 00:00:00,Games,Chutes & Ladders,JFK,Airport,2020,Qtr 1,January,30,2020,4,New York,12,51.96
2020-01-30 00:00:00,Games,Chutes & Ladders,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,17,Chicago,51,220.83
2020-01-30 00:00:00,Games,Chutes & Ladders,Times Square,Downtown,2020,Qtr 1,January,30,2020,3,New York,9,38.97
2020-01-30 00:00:00,Games,Classic Dominoes,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,25,Chicago,50,249.75
2020-01-30 00:00:00,Games,Classic Dominoes,Times Square,Downtown,2020,Qtr 1,January,30,2020,19,New York,38,189.81
2020-01-30 00:00:00,Games,Deck Of Cards,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,41,New York,123,286.59000000000003
2020-01-30 00:00:00,Games,Deck Of Cards,JFK,Airport,2020,Qtr 1,January,30,2020,50,New York,150,349.5
2020-01-30 00:00:00,Games,Deck Of Cards,LAX,Airport,2020,Qtr 1,January,30,2020,43,Los Angeles,129,300.57
2020-01-30 00:00:00,Games,Deck Of Cards,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,187,Chicago,561,1307.13
2020-01-30 00:00:00,Games,Deck Of Cards,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,29,Chicago,87,202.71
2020-01-30 00:00:00,Games,Deck Of Cards,Millenium,Downtown,2020,Qtr 1,January,30,2020,135,Chicago,405,943.65
2020-01-30 00:00:00,Games,Deck Of Cards,O'Hare,Airport,2020,Qtr 1,January,30,2020,189,Chicago,567,1321.1100000000001
2020-01-30 00:00:00,Games,Deck Of Cards,Times Square,Downtown,2020,Qtr 1,January,30,2020,101,New York,303,705.99
2020-01-30 00:00:00,Games,Glass Marbles,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,15,New York,75,164.85
2020-01-30 00:00:00,Games,Glass Marbles,JFK,Airport,2020,Qtr 1,January,30,2020,42,New York,210,461.58
2020-01-30 00:00:00,Games,Glass Marbles,LAX,Airport,2020,Qtr 1,January,30,2020,79,Los Angeles,395,868.21
2020-01-30 00:00:00,Games,Glass Marbles,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,15,Chicago,75,164.85
2020-01-30 00:00:00,Games,Glass Marbles,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,43,Chicago,215,472.57
2020-01-30 00:00:00,Games,Glass Marbles,Millenium,Downtown,2020,Qtr 1,January,30,2020,77,Chicago,385,846.23
2020-01-30 00:00:00,Games,Glass Marbles,O'Hare,Airport,2020,Qtr 1,January,30,2020,285,Chicago,1425,3132.15
2020-01-30 00:00:00,Games,Glass Marbles,Times Square,Downtown,2020,Qtr 1,January,30,2020,23,New York,115,252.77
2020-01-30 00:00:00,Games,Monopoly,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,18,Chicago,107.99999999999997,359.82
2020-01-30 00:00:00,Games,Monopoly,Times Square,Downtown,2020,Qtr 1,January,30,2020,24,New York,143.99999999999994,479.76
2020-01-30 00:00:00,Games,Rubik's Cube,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,1,New York,2,19.99
2020-01-30 00:00:00,Games,Rubik's Cube,Hollywood,Commercial,2020,Qtr 1,January,30,2020,44,Los Angeles,88,879.56
2020-01-30 00:00:00,Games,Rubik's Cube,JFK,Airport,2020,Qtr 1,January,30,2020,10,New York,20,199.89999999999998
2020-01-30 00:00:00,Games,Rubik's Cube,LAX,Airport,2020,Qtr 1,January,30,2020,68,Los Angeles,136,1359.32
2020-01-30 00:00:00,Games,Rubik's Cube,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,64,Chicago,128,1279.36
2020-01-30 00:00:00,Games,Rubik's Cube,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,33,Chicago,66,659.67
2020-01-30 00:00:00,Games,Rubik's Cube,Millenium,Downtown,2020,Qtr 1,January,30,2020,77,Chicago,154,1539.2299999999998
2020-01-30 00:00:00,Games,Rubik's Cube,O'Hare,Airport,2020,Qtr 1,January,30,2020,18,Chicago,36,359.82
2020-01-30 00:00:00,Games,Rubik's Cube,Times Square,Downtown,2020,Qtr 1,January,30,2020,50,New York,100,999.4999999999999
2020-01-30 00:00:00,Games,Uno Card Game,JFK,Airport,2020,Qtr 1,January,30,2020,5,New York,20,39.95
2020-01-30 00:00:00,Sports & Outdoors,Basketball Hoop,JFK,Airport,2020,Qtr 1,January,30,2020,5,New York,79.99999999999999,124.94999999999999
2020-01-30 00:00:00,Sports & Outdoors,Basketball Hoop,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,1,Chicago,15.999999999999998,24.99
2020-01-30 00:00:00,Sports & Outdoors,Basketball Hoop,Times Square,Downtown,2020,Qtr 1,January,30,2020,7,New York,111.99999999999999,174.92999999999998
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,JFK,Airport,2020,Qtr 1,January,30,2020,61,New York,244,975.39
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,LAX,Airport,2020,Qtr 1,January,30,2020,43,Los Angeles,172,687.57
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,20,Chicago,80,319.8
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,47,Chicago,188,751.53
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,Millenium,Downtown,2020,Qtr 1,January,30,2020,137,Chicago,548,2190.63
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,O'Hare,Airport,2020,Qtr 1,January,30,2020,25,Chicago,100,399.75
2020-01-30 00:00:00,Sports & Outdoors,Dart Gun,Times Square,Downtown,2020,Qtr 1,January,30,2020,58,New York,232,927.42
2020-01-30 00:00:00,Sports & Outdoors,Mini Ping Pong,JFK,Airport,2020,Qtr 1,January,30,2020,7,New York,21,69.93
2020-01-30 00:00:00,Sports & Outdoors,Mini Ping Pong,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,89,Chicago,267,889.11
2020-01-30 00:00:00,Sports & Outdoors,Mini Ping Pong,Times Square,Downtown,2020,Qtr 1,January,30,2020,13,New York,39,129.87
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,12,New York,59.99999999999998,239.88
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,Hollywood,Commercial,2020,Qtr 1,January,30,2020,66,Los Angeles,329.9999999999999,1319.34
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,JFK,Airport,2020,Qtr 1,January,30,2020,29,New York,144.99999999999994,579.7099999999999
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,LAX,Airport,2020,Qtr 1,January,30,2020,50,Los Angeles,249.99999999999991,999.4999999999999
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,27,Chicago,134.99999999999994,539.7299999999999
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,Millenium,Downtown,2020,Qtr 1,January,30,2020,101,Chicago,504.99999999999983,2018.9899999999998
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,O'Hare,Airport,2020,Qtr 1,January,30,2020,59,Chicago,294.9999999999999,1179.4099999999999
2020-01-30 00:00:00,Sports & Outdoors,Nerf Gun,Times Square,Downtown,2020,Qtr 1,January,30,2020,11,New York,54.99999999999998,219.89
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,38,New York,38,341.62
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Hollywood,Commercial,2020,Qtr 1,January,30,2020,78,Los Angeles,78,701.22
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,JFK,Airport,2020,Qtr 1,January,30,2020,14,New York,14,125.86
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,LAX,Airport,2020,Qtr 1,January,30,2020,26,Los Angeles,26,233.74
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,27,Chicago,27,242.73000000000002
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,37,Chicago,37,332.63
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Millenium,Downtown,2020,Qtr 1,January,30,2020,36,Chicago,36,323.64
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,O'Hare,Airport,2020,Qtr 1,January,30,2020,44,Chicago,44,395.56
2020-01-30 00:00:00,Sports & Outdoors,Splash Balls,Times Square,Downtown,2020,Qtr 1,January,30,2020,54,New York,54,485.46000000000004
2020-01-30 00:00:00,Toys,Action Figure,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,33,New York,198,527.67
2020-01-30 00:00:00,Toys,Action Figure,JFK,Airport,2020,Qtr 1,January,30,2020,3,New York,18,47.97
2020-01-30 00:00:00,Toys,Action Figure,LAX,Airport,2020,Qtr 1,January,30,2020,63,Los Angeles,378,1007.37
2020-01-30 00:00:00,Toys,Action Figure,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,73,Chicago,438,1167.27
2020-01-30 00:00:00,Toys,Action Figure,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,48,Chicago,288,767.52
2020-01-30 00:00:00,Toys,Action Figure,Millenium,Downtown,2020,Qtr 1,January,30,2020,177,Chicago,1062,2830.23
2020-01-30 00:00:00,Toys,Action Figure,O'Hare,Airport,2020,Qtr 1,January,30,2020,57,Chicago,342,911.4300000000001
2020-01-30 00:00:00,Toys,Action Figure,Times Square,Downtown,2020,Qtr 1,January,30,2020,59,New York,354,943.41
2020-01-30 00:00:00,Toys,Animal Figures,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,37,New York,111,480.63
2020-01-30 00:00:00,Toys,Animal Figures,JFK,Airport,2020,Qtr 1,January,30,2020,25,New York,75,324.75
2020-01-30 00:00:00,Toys,Animal Figures,LAX,Airport,2020,Qtr 1,January,30,2020,70,Los Angeles,210,909.3000000000001
2020-01-30 00:00:00,Toys,Animal Figures,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,49,Chicago,147,636.51
2020-01-30 00:00:00,Toys,Animal Figures,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,19,Chicago,57,246.81
2020-01-30 00:00:00,Toys,Animal Figures,Millenium,Downtown,2020,Qtr 1,January,30,2020,50,Chicago,150,649.5
2020-01-30 00:00:00,Toys,Animal Figures,O'Hare,Airport,2020,Qtr 1,January,30,2020,21,Chicago,63,272.79
2020-01-30 00:00:00,Toys,Animal Figures,Times Square,Downtown,2020,Qtr 1,January,30,2020,24,New York,72,311.76
2020-01-30 00:00:00,Toys,Dino Egg,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,42,New York,42,461.58
2020-01-30 00:00:00,Toys,Dino Egg,LAX,Airport,2020,Qtr 1,January,30,2020,34,Los Angeles,34,373.66
2020-01-30 00:00:00,Toys,Dino Egg,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,110,Chicago,110,1208.9
2020-01-30 00:00:00,Toys,Dino Egg,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,92,Chicago,92,1011.08
2020-01-30 00:00:00,Toys,Dino Egg,Millenium,Downtown,2020,Qtr 1,January,30,2020,36,Chicago,36,395.64
2020-01-30 00:00:00,Toys,Dino Egg,O'Hare,Airport,2020,Qtr 1,January,30,2020,84,Chicago,84,923.16
2020-01-30 00:00:00,Toys,Dino Egg,Times Square,Downtown,2020,Qtr 1,January,30,2020,44,New York,44,483.56
2020-01-30 00:00:00,Toys,Dinosaur Figures,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,3,New York,12,44.97
2020-01-30 00:00:00,Toys,Dinosaur Figures,JFK,Airport,2020,Qtr 1,January,30,2020,11,New York,44,164.89000000000001
2020-01-30 00:00:00,Toys,Dinosaur Figures,LAX,Airport,2020,Qtr 1,January,30,2020,18,Los Angeles,72,269.82
2020-01-30 00:00:00,Toys,Dinosaur Figures,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,31,Chicago,124,464.69
2020-01-30 00:00:00,Toys,Dinosaur Figures,Times Square,Downtown,2020,Qtr 1,January,30,2020,88,New York,352,1319.1200000000001
2020-01-30 00:00:00,Toys,Lego Bricks,Fifth Avenue,Commercial,2020,Qtr 1,January,30,2020,70,New York,350,2799.3
2020-01-30 00:00:00,Toys,Lego Bricks,Hollywood,Commercial,2020,Qtr 1,January,30,2020,17,Los Angeles,85,679.83
2020-01-30 00:00:00,Toys,Lego Bricks,JFK,Airport,2020,Qtr 1,January,30,2020,5,New York,25,199.95000000000002
2020-01-30 00:00:00,Toys,Lego Bricks,LAX,Airport,2020,Qtr 1,January,30,2020,42,Los Angeles,210,1679.5800000000002
2020-01-30 00:00:00,Toys,Lego Bricks,Lincoln Park,Residential,2020,Qtr 1,January,30,2020,28,Chicago,140,1119.72
2020-01-30 00:00:00,Toys,Lego Bricks,Michigan Ave,Commercial,2020,Qtr 1,January,30,2020,31,Chicago,155,1239.69
2020-01-30 00:00:00,Toys,Lego Bricks,Millenium,Downtown,2020,Qtr 1,January,30,2020,141,Chicago,705,5638.59
2020-01-30 00:00:00,Toys,Lego Bricks,O'Hare,Airport,2020,Qtr 1,January,30,2020,80,Chicago,400,3199.2000000000003
2020-01-30 00:00:00,Toys,Lego Bricks,Times Square,Downtown,2020,Qtr 1,January,30,2020,19,New York,95,759.8100000000001
2020-01-30 00:00:00,Toys,Teddy Bear,JFK,Airport,2020,Qtr 1,January,30,2020,17,New York,34,220.83
2020-01-30 00:00:00,Toys,Teddy Bear,LAX,Airport,2020,Qtr 1,January,30,2020,22,Los Angeles,44,285.78000000000003
2020-01-30 00:00:00,Toys,Teddy Bear,Millenium,Downtown,2020,Qtr 1,January,30,2020,26,Chicago,52,337.74
2020-02-01 00:00:00,Toys,Teddy Bear,Fifth Avenue,Commercial,2020,Qtr 1,February,1,2020,18,New York,36,233.82
2020-02-02 00:00:00,Toys,Action Figure,Beverly Hills,Residential,2020,Qtr 1,February,2,2020,56,Los Angeles,336,895.44
2020-02-03 00:00:00,Toys,Animal Figures,Beverly Hills,Residential,2020,Qtr 1,February,3,2020,27,Los Angeles,81,350.73
2020-02-04 00:00:00,Games,Classic Dominoes,Beverly Hills,Residential,2020,Qtr 1,February,4,2020,17,Los Angeles,34,169.83
2020-02-05 00:00:00,Electronics,Colorbuds,Beverly Hills,Residential,2020,Qtr 1,February,5,2020,40,Los Angeles,320,599.6
2020-02-06 00:00:00,Sports & Outdoors,Dart Gun,Beverly Hills,Residential,2020,Qtr 1,February,6,2020,33,Los Angeles,132,527.67
2020-02-07 00:00:00,Games,Deck Of Cards,Beverly Hills,Residential,2020,Qtr 1,February,7,2020,93,Los Angeles,279,650.07
2020-02-08 00:00:00,Toys,Dino Egg,Beverly Hills,Residential,2020,Qtr 1,February,8,2020,24,Los Angeles,24,263.76
2020-02-09 00:00:00,Toys,Dinosaur Figures,Beverly Hills,Residential,2020,Qtr 1,February,9,2020,29,Los Angeles,116,434.71
2020-02-10 00:00:00,Games,Glass Marbles,Beverly Hills,Residential,2020,Qtr 1,February,10,2020,5,Los Angeles,25,54.95
2020-02-11 00:00:00,Art & Crafts,Kids Makeup Kit,Beverly Hills,Residential,2020,Qtr 1,February,11,2020,27,Los Angeles,161.99999999999994,539.7299999999999
2020-02-12 00:00:00,Toys,Lego Bricks,Beverly Hills,Residential,2020,Qtr 1,February,12,2020,75,Los Angeles,375,2999.25
2020-02-13 00:00:00,Sports & Outdoors,Mini Ping Pong,Beverly Hills,Residential,2020,Qtr 1,February,13,2020,56,Los Angeles,168,559.44
2020-02-14 00:00:00,Sports & Outdoors,Nerf Gun,Beverly Hills,Residential,2020,Qtr 1,February,14,2020,17,Los Angeles,84.99999999999997,339.83
2020-02-15 00:00:00,Art & Crafts,PlayDoh Can,Beverly Hills,Residential,2020,Qtr 1,February,15,2020,11,Los Angeles,11.000000000000002,32.89
2020-02-16 00:00:00,Art & Crafts,PlayDoh Toolkit,Beverly Hills,Residential,2020,Qtr 1,February,16,2020,21,Los Angeles,21,104.79
2020-02-17 00:00:00,Games,Rubik's Cube,Beverly Hills,Residential,2020,Qtr 1,February,17,2020,10,Los Angeles,20,199.89999999999998
2020-02-18 00:00:00,Sports & Outdoors,Splash Balls,Beverly Hills,Residential,2020,Qtr 1,February,18,2020,9,Los Angeles,9,80.91
2020-02-19 00:00:00,Toys,Teddy Bear,Beverly Hills,Residential,2020,Qtr 1,February,19,2020,20,Los Angeles,40,259.8
2020-02-20 00:00:00,Toys,Action Figure,Hollywood,Commercial,2020,Qtr 1,February,20,2020,13,Los Angeles,78,207.87
2020-02-21 00:00:00,Toys,Animal Figures,Hollywood,Commercial,2020,Qtr 1,February,21,2020,80,Los Angeles,240,1039.2
2020-02-22 00:00:00,Electronics,Colorbuds,Hollywood,Commercial,2020,Qtr 1,February,22,2020,273,Los Angeles,2184,4092.27
2020-02-23 00:00:00,Sports & Outdoors,Dart Gun,Hollywood,Commercial,2020,Qtr 1,February,23,2020,35,Los Angeles,140,559.65
2020-02-24 00:00:00,Games,Deck Of Cards,Hollywood,Commercial,2020,Qtr 1,February,24,2020,97,Los Angeles,291,678.03
2020-02-25 00:00:00,Toys,Dinosaur Figures,Hollywood,Commercial,2020,Qtr 1,February,25,2020,24,Los Angeles,96,359.76
2020-02-26 00:00:00,Games,Glass Marbles,Hollywood,Commercial,2020,Qtr 1,February,26,2020,27,Los Angeles,135,296.73
2020-02-27 00:00:00,Art & Crafts,Kids Makeup Kit,Hollywood,Commercial,2020,Qtr 1,February,27,2020,26,Los Angeles,155.99999999999994,519.74
